**************************************************
Checking constraint violation of QuadrupleStance:
******************************************************************************
Domain: QuadrupleStance 	Constraint: timeDuration 	Node: 1 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
5.00000000E-01 4.50493220E-01 2.00000000E+00
$$ Lower bound violated: -4.95067800E-02 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 2 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 8.09403298E-04 1.00000000E-04
-1.00000000E-04 -1.47703785E-03 1.00000000E-04
-1.00000000E-04 -3.00533997E-04 1.00000000E-04
-1.00000000E-04 6.91930476E-04 1.00000000E-04
-1.00000000E-04 -1.53649658E-03 1.00000000E-04
-1.00000000E-04 3.26517454E-05 1.00000000E-04
-1.00000000E-04 -6.35231620E-04 1.00000000E-04
-1.00000000E-04 1.54784502E-03 1.00000000E-04
-1.00000000E-04 3.19942597E-06 1.00000000E-04
-1.00000000E-04 -5.61361340E-07 1.00000000E-04
-1.00000000E-04 1.40234171E-04 1.00000000E-04
-1.00000000E-04 -7.05709799E-07 1.00000000E-04
-1.00000000E-04 4.97230280E-06 1.00000000E-04
-1.00000000E-04 -1.07751665E-07 1.00000000E-04
-1.00000000E-04 -1.91665982E-05 1.00000000E-04
-1.00000000E-04 1.52612030E-05 1.00000000E-04
-1.00000000E-04 5.16455389E-05 1.00000000E-04
-1.00000000E-04 7.77919010E-06 1.00000000E-04
-1.00000000E-04 2.37938806E-05 1.00000000E-04
-1.00000000E-04 -4.06644585E-05 1.00000000E-04
-1.00000000E-04 2.55086146E-05 1.00000000E-04
-1.00000000E-04 -1.84071070E-05 1.00000000E-04
-1.00000000E-04 -3.81523034E-05 1.00000000E-04
-1.00000000E-04 -3.77371743E-06 1.00000000E-04
-1.00000000E-04 1.78734218E-05 1.00000000E-04
-1.00000000E-04 4.38566501E-05 1.00000000E-04
$$ Lower bound violated: -1.43649658E-03 
$$ Upper bound violated: 1.44784502E-03 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intX 	Node: 20 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -4.20319450E-05 1.00000000E-04
-1.00000000E-04 9.46366509E-07 1.00000000E-04
-1.00000000E-04 -6.76871543E-05 1.00000000E-04
-1.00000000E-04 -1.27527900E-06 1.00000000E-04
-1.00000000E-04 -8.73015177E-05 1.00000000E-04
-1.00000000E-04 1.00390663E-06 1.00000000E-04
-1.00000000E-04 2.24843683E-04 1.00000000E-04
-1.00000000E-04 9.19860214E-05 1.00000000E-04
-1.00000000E-04 -4.13611141E-05 1.00000000E-04
-1.00000000E-04 -5.71191541E-04 1.00000000E-04
-1.00000000E-04 -3.11168440E-05 1.00000000E-04
-1.00000000E-04 9.77613508E-05 1.00000000E-04
-1.00000000E-04 -2.07302326E-04 1.00000000E-04
-1.00000000E-04 -5.48991922E-05 1.00000000E-04
-1.00000000E-04 -2.92963571E-04 1.00000000E-04
-1.00000000E-04 2.57501147E-04 1.00000000E-04
-1.00000000E-04 6.35082160E-05 1.00000000E-04
-1.00000000E-04 2.33254426E-04 1.00000000E-04
-1.00000000E-04 3.22356012E-06 1.00000000E-04
-1.00000000E-04 -3.01186871E-06 1.00000000E-04
-1.00000000E-04 6.06961046E-06 1.00000000E-04
-1.00000000E-04 5.06751550E-06 1.00000000E-04
-1.00000000E-04 7.82072484E-06 1.00000000E-04
-1.00000000E-04 2.20718773E-08 1.00000000E-04
-1.00000000E-04 -2.78252704E-05 1.00000000E-04
-1.00000000E-04 -1.61220257E-04 1.00000000E-04
-1.00000000E-04 2.86033550E-04 1.00000000E-04
-1.00000000E-04 -5.32667307E-06 1.00000000E-04
-1.00000000E-04 1.74956966E-04 1.00000000E-04
-1.00000000E-04 -2.95984481E-04 1.00000000E-04
-1.00000000E-04 -3.42146497E-05 1.00000000E-04
-1.00000000E-04 1.29814734E-04 1.00000000E-04
-1.00000000E-04 -2.65665705E-04 1.00000000E-04
-1.00000000E-04 -5.80122370E-05 1.00000000E-04
-1.00000000E-04 -4.02168917E-05 1.00000000E-04
-1.00000000E-04 3.06850154E-04 1.00000000E-04
******************************************************************************
Domain: QuadrupleStance 	Constraint: intXdot 	Node: 2 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 4.20400496E-04 1.00000000E-04
-1.00000000E-04 2.25409585E-05 1.00000000E-04
-1.00000000E-04 -1.32225901E-03 1.00000000E-04
-1.00000000E-04 -5.25895321E-05 1.00000000E-04
-1.00000000E-04 9.23717460E-04 1.00000000E-04
-1.00000000E-04 -1.17267340E-05 1.00000000E-04
-1.00000000E-04 -9.21082519E-03 1.00000000E-04
-1.00000000E-04 -5.64084876E-03 1.00000000E-04
-1.00000000E-04 1.10231200E-02 1.00000000E-04
-1.00000000E-04 6.80625441E-03 1.00000000E-04
-1.00000000E-04 5.59233735E-03 1.00000000E-04
-1.00000000E-04 -1.09067587E-02 1.00000000E-04
-1.00000000E-04 -7.97473006E-03 1.00000000E-04
-1.00000000E-04 4.17783252E-03 1.00000000E-04
-1.00000000E-04 -8.50009059E-03 1.00000000E-04
-1.00000000E-04 1.02518294E-02 1.00000000E-04
-1.00000000E-04 -4.16138525E-03 1.00000000E-04
-1.00000000E-04 8.41661317E-03 1.00000000E-04
-1.00000000E-04 -1.37167297E-05 1.00000000E-04
-1.00000000E-04 -5.54673626E-06 1.00000000E-04
-1.00000000E-04 1.47482463E-04 1.00000000E-04
-1.00000000E-04 3.22067210E-06 1.00000000E-04
-1.00000000E-04 5.69841996E-05 1.00000000E-04
-1.00000000E-04 3.76303078E-06 1.00000000E-04
-1.00000000E-04 9.06985508E-04 1.00000000E-04
-1.00000000E-04 3.07198223E-04 1.00000000E-04
-1.00000000E-04 -6.57411452E-04 1.00000000E-04
-1.00000000E-04 -2.38440534E-04 1.00000000E-04
-1.00000000E-04 -2.94212663E-04 1.00000000E-04
-1.00000000E-04 6.39219835E-04 1.00000000E-04
-1.00000000E-04 1.40578149E-03 1.00000000E-04
-1.00000000E-04 -2.74976638E-04 1.00000000E-04
-1.00000000E-04 6.24559475E-04 1.00000000E-04
-1.00000000E-04 -1.97747883E-03 1.00000000E-04
-1.00000000E-04 2.59811035E-04 1.00000000E-04
-1.00000000E-04 -6.00511170E-04 1.00000000E-04
$$ Lower bound violated: -1.08067587E-02 
$$ Upper bound violated: 1.09231200E-02 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intXdot 	Node: 4 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -2.76066376E-07 1.00000000E-04
-1.00000000E-04 -1.15641502E-05 1.00000000E-04
-1.00000000E-04 -1.60676621E-03 1.00000000E-04
-1.00000000E-04 2.86542655E-05 1.00000000E-04
-1.00000000E-04 -3.77838897E-05 1.00000000E-04
-1.00000000E-04 -1.13783258E-05 1.00000000E-04
-1.00000000E-04 -1.75154916E-03 1.00000000E-04
-1.00000000E-04 -6.45817463E-03 1.00000000E-04
-1.00000000E-04 1.26439132E-02 1.00000000E-04
-1.00000000E-04 6.72758650E-03 1.00000000E-04
-1.00000000E-04 6.55241228E-03 1.00000000E-04
-1.00000000E-04 -1.27332361E-02 1.00000000E-04
-1.00000000E-04 -9.00191580E-03 1.00000000E-04
-1.00000000E-04 5.88005829E-03 1.00000000E-04
-1.00000000E-04 -1.18301677E-02 1.00000000E-04
-1.00000000E-04 1.19173505E-02 1.00000000E-04
-1.00000000E-04 -5.90581100E-03 1.00000000E-04
-1.00000000E-04 1.18652770E-02 1.00000000E-04
-1.00000000E-04 1.66324720E-05 1.00000000E-04
-1.00000000E-04 -5.55266825E-07 1.00000000E-04
-1.00000000E-04 3.36723187E-05 1.00000000E-04
-1.00000000E-04 8.02417332E-07 1.00000000E-04
-1.00000000E-04 3.68218517E-05 1.00000000E-04
-1.00000000E-04 -1.51029487E-06 1.00000000E-04
-1.00000000E-04 -2.99260185E-04 1.00000000E-04
-1.00000000E-04 1.16711064E-04 1.00000000E-04
-1.00000000E-04 -2.21409784E-04 1.00000000E-04
-1.00000000E-04 1.36413677E-03 1.00000000E-04
-1.00000000E-04 -1.07025124E-04 1.00000000E-04
-1.00000000E-04 2.14296234E-04 1.00000000E-04
-1.00000000E-04 -1.35021235E-03 1.00000000E-04
-1.00000000E-04 -1.85806340E-04 1.00000000E-04
-1.00000000E-04 3.23618000E-04 1.00000000E-04
-1.00000000E-04 1.54892722E-03 1.00000000E-04
-1.00000000E-04 1.81343029E-04 1.00000000E-04
-1.00000000E-04 -3.17634535E-04 1.00000000E-04
$$ Lower bound violated: -1.26332361E-02 
$$ Upper bound violated: 1.25439132E-02 
******************************************************************************
Domain: QuadrupleStance 	Constraint: intXdot 	Node: 6 
------------------------------------------------------------------------------
       Lower   Constraint        Upper
-1.00000000E-04 -7.18062816E-05 1.00000000E-04
-1.00000000E-04 -6.16122047E-05 1.00000000E-04
-1.00000000E-04 -1.48121455E-03 1.00000000E-04
